idnumber,title,artistcalc,datemade,materials,measurement
1992.4.22,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Newspaper and magazine clippings mounted on 44 pieces of cardboard. Hand additions in red ink and pencil on 4 clipppings on cardboard.,15 1/2 x 14 1/2 in.
1992.4.23,Father/Mother,"Cha, Theresa Hak Kyung",1977,"color photocopies, ink on paper, plastic sleeves, and brown paper cover, bound with thread",6 1/2 x 9 1/2 in.
1992.4.24.a-aj,Presence Absence,"Cha, Theresa Hak Kyung",1975,36 photocopies,11 x 8 1/2 in.
1992.4.25.a-c,Untitled,"Cha, Theresa Hak Kyung",n.d.,collage (3 sections),13 1/2 x 28 1/4 in.
1992.4.26,Co respond ance,"Cha, Theresa Hak Kyung",1980,White press type on clear plexiglass clamped to a lined sheet of stationery and press board.,10 x 14 in.
1992.4.27,"Etang [eta], s.m. Pond, pool, mere.","Cha, Theresa Hak Kyung",1978,envelope with 6 cards printed in black on white card stock,4 1/2 x 6 in.
1992.4.28,"Etang [eta], s.m. Pond, pool, mere.","Cha, Theresa Hak Kyung",1978,Pencil on paper. Typewritten text with handwritten additions in pencil and ink.,11 x 8 1/2 in.
1992.4.29,Untitled,"Cha, Theresa Hak Kyung",nd,7 cards with handwritten text in pencil. 2 blank cards.,4 x 6 in.
1992.4.30,Mot Caché,"Cha, Theresa Hak Kyung",1978,rubber stamp,4 x 5 x 4 in.
1992.4.31,Untitled (glass jar),"Cha, Theresa Hak Kyung",1980,A clear glass jar with lid containing 5 pieces of paper with type-written text and black string.,4 x 4 x 4 in.
1992.4.32.1-29,"A Ble Wail, performed at Worth Ryder Gallery, University of California, Berkeley","Cha, Theresa Hak Kyung",1975,28 black-and-white photographs and typewritten text on paper,sheet: 11 1/2 x 8 1/4 in.
1992.4.33,sketch (A Ble Wail),"Cha, Theresa Hak Kyung",1975,"black and blue ink on paper, two-sided",12 1/2 x 12 in.
1992.4.34,sketch (A Ble Wail),"Cha, Theresa Hak Kyung",1975,"ink and graphite on paper, two sided",8 1/2 x 11 in.
1992.4.35,Mot Caché,"Cha, Theresa Hak Kyung",1978,postcard with black ink rubber-stamp impression,3 1/2 x 5 1/2 in.
1992.4.36,Audience Distant Relative,"Cha, Theresa Hak Kyung",1978,black ink on 6 white envelopes,6 1/4 x 9 1/2 in.
1992.4.37,A Ble W ail,"Cha, Theresa Hak Kyung",1975,stenciled letters in black ink on burlap,7 1/2 x 22 in.
1992.4.38,Permutations.,"Cha, Theresa Hak Kyung",1978,Typewritten text on paper. 10 pages.,11 1/4 x 8 1/2 in.
1992.4.39,Permutations,"Cha, Theresa Hak Kyung",1978,Typewritten text on paper. Handwritten additions. 16 pages.,11 x 8 1/2 in.
1992.4.40,Permutations,"Cha, Theresa Hak Kyung",1978,"Pencil, black ink and blue pen on paper. 28 pages.",11 1/4 x 8 1/2 in.
1992.4.41,Re Dis Appearing,"Cha, Theresa Hak Kyung",1977,"Typewritten text on paper, 2 pages. Pencil on paper, 1 page.",11 x 8 1/2 in.
1992.4.42,Re Dis Appearing,"Cha, Theresa Hak Kyung",1977,"Pencil on paper, stapled, 2 pages. Typewritten text and pencil on paper, 1 page. Pencil on yellow paper, 1 page.",11 x 8 1/2 in.
1992.4.43,Re Dis Appearing,"Cha, Theresa Hak Kyung",1977,"Typewritten text, pencil and blue pen on paper. 3 pages.",11 x 8 1/2 in.
1992.4.44,Re Dis Appearing,"Cha, Theresa Hak Kyung",1977,Pencil and blue pen on paper.,11 x 8 1/2 in.
1992.4.45,Re Dis Appearing,"Cha, Theresa Hak Kyung",1977,"Typewritten text and pencil on blue paper, 2 pages. Typewritten text on paper, 1 page.",11 x 8 1/2 in.
1992.4.46,Untitled,"Cha, Theresa Hak Kyung",nd,Plaster of paris and wax.,
1992.4.47,Chronology,"Cha, Theresa Hak Kyung",1977,Color photocopies attached to 18 pieces/panels of pressboard. Hooks for hanging the board/panels are taped to the verso of each board/ panel.,14 x 8 1/2 in.
1992.4.48,Chronology,"Cha, Theresa Hak Kyung",1977,9 sheets of paper with black press type. 4 sheets have an original photograph attached. 1 black and white photograph.,14 x 8 1/2 in.
1992.4.49,Chronology,"Cha, Theresa Hak Kyung",1977,9 color photocopies.,14 x 8 1/2 in.
1992.4.50,Untitled (Apres tu parti),"Cha, Theresa Hak Kyung",1976,Artist's book. 4 sheets of graph paper with black press type. Folded.,12 x 8 1/4 in.
1992.4.51.1-10,Aveugle Voix,"Cha, Theresa Hak Kyung",1975,10 black-and-white photographs,9 1/2 x 6 3/4 in.
1992.4.52.1-27,Untitled (Barren Cave Mute),"Cha, Theresa Hak Kyung",1974,26 black-and-white photographs and typewritten text on paper,8 x 10 in.
1992.4.53,Black And Blue,"Cha, Theresa Hak Kyung",1976,Black ink and blue paint on 15 sheets of paper.,11 3/4 x 8 1/4 in.
1992.4.54,Markings,"Cha, Theresa Hak Kyung",1976,Black ink on 5 sheets of paper.,11 3/4 x 8 1/4 in.
1992.4.55,Markings,"Cha, Theresa Hak Kyung",1976,Artist's book. Black ink on paper with a brown envelope paper cover bound by 5 white string ties. 5 pages. (2 copies),12 3/4 x 9 in.
1992.4.56,It Is Almost That,"Cha, Theresa Hak Kyung",1977,white press type and white pastel on 19 sheets of black paper,9 1/2 x 12 1/2 in.
